symbol,timestamp,open,high,low,close,volume
USDC,9/6/2019,0.9993,1.0026,0.9965,0.9991,15054466.81
USDC,9/7/2019,0.9989,1.0005,0.9972,0.9972,4097260.27
USDC,9/8/2019,0.9972,0.9993,0.9967,0.9988,2826286.82
USDC,9/9/2019,0.9985,1.0011,0.998,0.9991,8616005.85
USDC,9/10/2019,0.9991,1.0025,0.9988,1.0004,8747582.89
USDC,9/11/2019,1.0005,1.0028,1.0,1.0001,4778762.61
USDC,9/12/2019,1.0001,1.0014,0.9985,0.9987,4412163.84
USDC,9/13/2019,0.9988,1.0011,0.9979,0.9981,5269552.47
USDC,9/14/2019,0.9981,0.9997,0.9973,0.9974,3253022.74
USDC,9/15/2019,0.9977,0.9995,0.9972,0.9988,2155260.16
USDC,9/16/2019,0.9988,1.0017,0.998,0.9986,8659149.73
USDC,9/17/2019,0.9988,1.0007,0.9972,0.9997,15655070.01
USDC,9/18/2019,1.0,1.001,0.9985,0.9999,12019129.6
USDC,9/19/2019,0.9999,1.0049,0.9942,0.9977,16902247.6
USDC,9/20/2019,0.9979,1.0017,0.9977,1.0004,9131173.41
USDC,9/21/2019,1.0004,1.0012,0.9996,1.0008,3748384.85
USDC,9/22/2019,1.0009,1.0016,0.9997,1.0002,5678089.34
USDC,9/23/2019,1.0001,1.0033,0.9999,1.0008,9435786.23
USDC,9/24/2019,1.0007,1.0099,0.9879,0.9965,24708837.4
USDC,9/25/2019,0.9965,1.0006,0.9962,0.9997,9703127.5
USDC,9/26/2019,0.9997,1.002,0.9984,0.9997,9989741.47
USDC,9/27/2019,0.9999,1.0015,0.9975,0.9982,7152083.98
USDC,9/28/2019,0.9982,0.9996,0.997,0.9982,8700744.3
USDC,9/29/2019,0.9982,0.9999,0.9978,0.9982,5661595.02
USDC,9/30/2019,0.9983,1.0008,0.9974,0.9977,7685616.16
USDC,10/1/2019,0.9977,0.9989,0.9967,0.9975,6699989.15
USDC,10/2/2019,0.9975,1.0,0.9972,0.9977,9654897.65
USDC,10/3/2019,0.9975,0.9998,0.9972,0.9985,12086779.14
USDC,10/4/2019,0.9986,0.9999,0.9976,0.998,8320800.9
USDC,10/5/2019,0.9978,0.9995,0.9978,0.9981,8595338.43
USDC,10/6/2019,0.998,1.0001,0.9973,0.9997,11839941.83
USDC,10/7/2019,0.9997,0.9999,0.9975,0.9978,14001637.68
USDC,10/8/2019,0.9978,1.0,0.9975,0.9989,9750122.89
USDC,10/9/2019,0.999,1.0007,0.9975,0.9976,15947839.25
USDC,10/10/2019,0.9976,0.9989,0.9966,0.997,14794394.99
USDC,10/11/2019,0.9971,0.9999,0.9966,0.9992,10535994.29
USDC,10/12/2019,0.9991,1.0005,0.9981,0.9993,5370370.51
USDC,10/13/2019,0.9993,1.0,0.9978,0.9994,5172483.59
USDC,10/14/2019,0.9994,0.9999,0.9985,0.9995,4757813.74
USDC,10/15/2019,0.9993,1.0009,0.9988,1.0006,6662430.84
USDC,10/16/2019,1.0003,1.001,0.9993,0.9996,7541863.41
USDC,10/17/2019,0.9996,1.0007,0.9991,0.9997,7326141.69
USDC,10/18/2019,0.9996,1.0003,0.9986,0.9991,7813064.32
USDC,10/19/2019,0.9993,1.0,0.9986,0.9991,2134514.18
USDC,10/20/2019,0.9988,1.0,0.9982,0.9983,4402742.59
USDC,10/21/2019,0.9986,0.9999,0.9978,0.9984,7196910.42
USDC,10/22/2019,0.9982,0.9999,0.9976,0.9992,8126674.13
USDC,10/23/2019,0.9991,1.001,0.9986,0.9995,15657420.24
USDC,10/24/2019,0.9995,1.0,0.9976,0.998,8059063.07
USDC,10/25/2019,0.9983,0.9998,0.985,0.9984,16351014.04
USDC,10/26/2019,0.9984,0.9998,0.9911,0.9977,23719660.8
USDC,10/27/2019,0.9977,0.9989,0.9964,0.9972,10617198.38
USDC,10/28/2019,0.9975,0.9991,0.9963,0.998,12379457.84
USDC,10/29/2019,0.9981,0.9999,0.9974,0.9981,11355535.66
USDC,10/30/2019,0.9979,1.0006,0.9972,0.9992,11331099.93
USDC,10/31/2019,0.9989,1.0002,0.9981,0.9988,8373949.65
USDC,11/1/2019,0.9988,1.0002,0.9982,0.9987,8839233.32
USDC,11/2/2019,0.9988,0.9992,0.9977,0.9986,5758116.49
USDC,11/3/2019,0.9986,0.9999,0.9979,0.9991,3444819.33
USDC,11/4/2019,0.9992,1.0002,0.9921,0.9981,11237306.95
USDC,11/5/2019,0.9981,0.9999,0.9974,0.9991,8167502.89
USDC,11/6/2019,0.9989,1.0007,0.9986,1.0001,6484233.01
USDC,11/7/2019,1.0001,1.0023,0.9998,1.0011,8704519.31
USDC,11/8/2019,1.0011,1.0048,1.0007,1.0014,8962928.14
USDC,11/9/2019,1.0014,1.0018,1.0002,1.0005,3470950.33
USDC,11/10/2019,1.0005,1.001,0.9994,1.0003,4066582.48
USDC,11/11/2019,1.0003,1.0035,1.0001,1.0015,6803096.5
USDC,11/12/2019,1.0014,1.0036,1.0002,1.0008,7585080.34
USDC,11/13/2019,1.0008,1.0032,0.9999,1.0014,7036205.71
USDC,11/14/2019,1.0017,1.0042,1.001,1.0024,5303384.29
USDC,11/15/2019,1.0024,1.0042,1.0012,1.0019,5106162.54
USDC,11/16/2019,1.0015,1.0019,1.0003,1.0013,4160390.0
USDC,11/17/2019,1.001,1.0017,1.0,1.0003,3938218.83
USDC,11/18/2019,1.0003,1.0047,1.0003,1.0019,7355515.7
USDC,11/19/2019,1.0019,1.0038,1.0014,1.0014,5214973.17
USDC,11/20/2019,1.0017,1.004,1.001,1.0023,5769593.73
USDC,11/21/2019,1.0022,1.01,1.001,1.0011,7704349.63
USDC,11/22/2019,1.0011,1.0045,0.9981,0.9989,16133090.46
USDC,11/23/2019,0.9989,0.9997,0.9979,0.9985,10146607.32
USDC,11/24/2019,0.9985,1.0001,0.9983,0.9996,5240828.79
USDC,11/25/2019,0.9995,1.0005,0.9984,0.9987,9061081.3
USDC,11/26/2019,0.9988,1.0009,0.9986,0.9992,7621173.6
USDC,11/27/2019,0.9994,1.0005,0.9984,0.9989,12578065.53
USDC,11/28/2019,0.9989,1.0,0.9985,0.999,9006786.4
USDC,11/29/2019,0.9989,1.0001,0.9984,0.999,5299958.6
USDC,11/30/2019,0.9988,1.0,0.9985,0.9995,3945198.39
USDC,12/1/2019,0.9995,1.0005,0.9987,0.9988,4803775.9
USDC,12/2/2019,0.999,1.0004,0.9988,0.9992,4689497.74
USDC,12/3/2019,0.9993,1.0004,0.9987,0.9991,7647559.68
USDC,12/4/2019,0.9992,1.0005,0.998,0.9999,11197411.73
USDC,12/5/2019,0.9996,1.0009,0.9991,0.9993,5401575.75
USDC,12/6/2019,0.9993,1.0003,0.9983,0.9985,5813213.44
USDC,12/7/2019,0.9988,1.0,0.9981,0.9986,5571144.01
USDC,12/8/2019,0.9986,0.9993,0.998,0.9988,3325455.76
USDC,12/9/2019,0.9987,1.0002,0.9982,0.9999,7703893.28
USDC,12/10/2019,0.9999,1.002,0.9996,1.0003,7121890.43
USDC,12/11/2019,1.0003,1.0015,0.9998,1.0011,4802735.26
USDC,12/12/2019,1.0012,1.0022,1.0003,1.001,4192536.36
USDC,12/13/2019,1.0011,1.002,1.0004,1.0006,3171781.68
USDC,12/14/2019,1.0007,1.0032,1.0003,1.0006,4248252.77
USDC,12/15/2019,1.0007,1.0016,1.0005,1.0008,3343309.97
USDC,12/16/2019,1.0011,1.0034,1.0008,1.0023,4681320.64
USDC,12/17/2019,1.0023,1.0028,1.0004,1.0011,6563501.77
USDC,12/18/2019,1.0011,1.002,0.9982,0.9992,11992475.11
USDC,12/19/2019,0.9991,1.0019,0.9984,1.0006,6887559.8
USDC,12/20/2019,1.0006,1.0011,0.9997,0.9999,4458697.31
USDC,12/21/2019,0.9998,1.0002,0.9994,0.9998,3829588.95
USDC,12/22/2019,0.9996,1.0004,0.9987,0.9988,3626866.95
USDC,12/23/2019,0.9988,1.0008,0.9981,1.0004,7532148.68
